date,trades_today,start_of_day_equity,last_trade_time
2026-09-17,1,1000.0,2026-09-17T07:49:22.997842+00:00
2026-09-17,2,1000.0,2026-09-17T07:58:24.634316+00:00
2026-09-17,3,1000.0,2026-09-17T08:15:36.336297+00:00
2026-09-17,4,1000.0,2026-09-17T08:32:04.435162+00:00
2026-09-17,5,1000.0,2026-09-17T08:45:17.207482+00:00
2026-09-17,6,1000.0,2026-09-17T08:55:26.127195+00:00
2026-09-17,7,1000.0,2026-09-17T09:07:47.257219+00:00
2026-09-17,8,1000.0,2026-09-17T09:23:50.995181+00:00
2026-09-17,9,1000.0,2026-09-17T09:37:48.233679+00:00
2026-09-17,9,1000.0,2026-09-17T09:37:48.233679+00:00
2026-09-17,9,1000.0,2026-09-17T09:37:48.233679+00:00
2026-09-17,9,1000.0,2026-09-17T09:37:48.233679+00:00
2026-09-17,9,1000.0,2026-09-17T09:37:48.233679+00:00
2026-09-17,9,1000.0,2026-09-17T09:37:48.233679+00:00
2026-09-17,9,1000.0,2026-09-17T09:37:48.233679+00:00
2026-09-17,9,1000.0,2026-09-17T09:37:48.233679+00:00
2026-09-17,9,1000.0,2026-09-17T09:37:48.233679+00:00
2026-09-17,9,1000.0,2026-09-17T09:37:48.233679+00:00
2026-09-17,10,1000.0,2026-09-17T11:34:28.984151+00:00
2026-09-17,11,1000.0,2026-09-17T11:46:37.952709+00:00
2026-09-17,11,1000.0,2026-09-17T11:46:37.952709+00:00
2026-09-17,12,1000.0,2026-09-17T12:12:59.090037+00:00
2026-09-17,13,1000.0,2026-09-17T12:33:17.051793+00:00
2026-09-17,14,1000.0,2026-09-17T12:50:22.143997+00:00
2026-09-17,14,1000.0,2026-09-17T12:50:22.143997+00:00
2026-09-17,14,1000.0,2026-09-17T12:50:22.143997+00:00
2026-09-17,15,1000.0,2026-09-17T13:33:32.602951+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
2026-09-17,16,1000.0,2026-09-17T13:47:16.476537+00:00
